Product_Title,Price,Shop,Category_Id
ZOTAC GEFORCE GT 1030 LOW PROFILE 2GB GDDR5 GRAPHICS CARD, 8150,BD STALL,1
ASUS GEFORCE GTX 1070 G1 8GB DDR5 GAMING GRAPHICS CARD, 50000,BD STALL,1
ASUS GT710 2GB DDR3 EFFICIENT COOLING GRAPHICS CARD, 4700,BD STALL,1
ASUS GT710-SL DDR5 2GB GRAPHICS CARD, 4850,BD STALL,1
ZOTAC GEFORCE GTX 1650 OC 4GB GDDR5 GAMING GRAPHICS CARD, 14450,BD STALL,1
ZOTAC GAMING GEFORCE GTX 1660 TI 6GB GDDR6 GRAPHICS CARD,27500,STARTECH,1
GALAX GEFORCE GTX 1660 (1-CLICK OC) 6GB GDDR5 192-BIT GRAPHICS CARD,21200,STARTECH,1
GIGABYTE GEFORCE GTX 1650 WINDFORCE OC 4GB GRAPHICS CARD,18600,STARTECH,1
SAPPHIRE NITRO+ RX 580 4G GDDR5 GRAPHICS CARD,18500,STARTECH,1
XFX RADEON RX 560 4GB DDR5 PCI-E AMD GRAPHICS CARD (RX-560D4SFG5),10300,STARTECH,1
ZOTAC GAMING GEFORCE GTX 1660 TI AMP 6GB GDDR6 GRAPHICS CARD,29500,STARTECH,1
GALAX GEFORCE GTX 1660 SUPER (1-CLICK OC) 6GB GDDR6 192-BIT GRAPHICS CARD,24500,STARTECH,1
SAPPHIRE NITRO+ RX 580 8G GDDR5 GRAPHICS CARD,22300,STARTECH,1
XFX RX 580 GTS XXX EDITION 8GB DDR5 GRAPHICS CARD,19800,STARTECH,1
ZOTAC GAMING GEFORCE RTX 2060 8GB GDDR6 SUPER MINI GRAPHICS CARD,42700,STARTECH,1
GALAX GEFORCE RTX 2060 SUPER (1 CLICK OC) 8GB GDDR6 256-BIT GRAPHICS CARD,35500,STARTECH,1
GIGABYTE GEFORCE GTX 1660 GAMING OC 6GB GRAPHICS CARD,25800,STARTECH,1
XFX AMD RADEON RX590 FATBOY 8GB OC DDR5 GRAPHICS CARD,27200,STARTECH,1
GALAX GEFORCE RTX 2060 SUPER EX (1-CLICK OC) 8GB GDDR6 256-BIT GRAPHICS CARD,38500,STARTECH,1
GIGABYTE GEFORCE GTX 1660 TI OC 6GB GRAPHICS CARD,28300,STARTECH,1
SAPPHIRE RADEON VII 16GB HBM2 HDMI TRIPLE DP (UEFI) GRAPHICS CARD,71500,STARTECH,1
XFX RADEON RX 5700 8GB CORE EDITION GRAPHICS CARD,35800,STARTECH,1
ZOTAC GAMING GEFORCE RTX2060 SUPER AMP EXTREME 8GB GDDR6 GRAPHICS CARD,47000,STARTECH,1
GIGABYTE GEFORCE GTX 1660 TI WINDFORCE OC 6GB GRAPHICS CARD,29300,STARTECH,1
SAPPHIRE NITRO+ RX 560 4G GDDR5 GRAPHICS CARD,12300,STARTECH,1
XFX RADEON RX 5700 XT 8GB CORE EDITION GRAPHICS CARD,41300,STARTECH,1
MSI RADEON RX 570 ARMOR 8G OC 8GB DDR5 GRAPHICS CARD, 16200,COMPUTER VILLAGE,1
ZOTAC GAMING GEFORCE GTX 1650 AMP GRAPHICS CARD, 15700,COMPUTER VILLAGE,1
ZOTAC GEFORCE GTX 1050 TI OC EDITION 4GB GDDR5 GRAPHICS CARD, 16500,COMPUTER VILLAGE,1
ASUS PHOENIX GEFORCE GTX 1650 4GB GDDR5 GRAPHICS CARD, 16700,COMPUTER VILLAGE,1
ASUS PH-GTX1050TI-4G 4GB DDR-5 GRAPHICS CARD, 16950,COMPUTER VILLAGE,1
GIGABYTE GTX 1050 TI OC 4GB DDR5 GRAPHICS CARD, 17500,COMPUTER VILLAGE,1
GIGABYTE GEFORCE GTX 1650 OC 4GB DDR5 GRAPHICS CARD, 18000,COMPUTER VILLAGE,1
GIGABYTE GEFORCE GTX 1050 TI WINDFORCE OC 4GB DDR5 GRAPHICS CARD, 18000,COMPUTER VILLAGE,1
GIGABYTE GEFORCE GTX 1650 WINDFORCE OC 4GB DDR5 GRAPHICS CARD, 18500,COMPUTER VILLAGE,1
GIGABYTE GTX 1050TI G1 GAMING 4GB DDR5 GRAPHICS CARD, 18600,COMPUTER VILLAGE,1
MSI GEFORCE GTX 1650 VENTUS XS 4G OC 4GB GDDR5 GRAPHICS CARD, 18200,COMPUTER VILLAGE,1
SAPPHIRE NITRO+ RADEON RX 570 8GB GDDR5 GRAPHICS CARD, 19000,COMPUTER VILLAGE,1
GIGABYTE RADEON RX 580 GAMING 8GB DDR5 MI GRAPHICS CARD, 20000,COMPUTER VILLAGE,1
ZOTAC GEFORCE GTX 1060 3GB DDR5 GRAPHICS CARD, 19800,COMPUTER VILLAGE,1
MSI GEFORCE GTX 1650 GAMING X 4G 4GB GDDR5 GRAPHICS CARD, 19800,COMPUTER VILLAGE,1
ASUS STRIX-GTX1050TI-DC2O4G-GAMING 4GB DDR5 GRAPHICS CARD, 20500,COMPUTER VILLAGE,1
GIGABYTE GEFORCE GTX 1650 GAMING OC 4GB DDR5 GRAPHICS CARD, 21000,COMPUTER VILLAGE,1
ZOTAC GAMING GEFORCE GTX 1660 6GB GDDR5 GRAPHICS CARD, 21500,COMPUTER VILLAGE,1
ASUS DUAL-RX580-O4G 4GB DDR5 GRAPHICS CARD, 22000,COMPUTER VILLAGE,1
ZOTAC GAMING GEFORCE GTX 1660 6GB GDDR5 GRAPHICS CARD, 22000,COMPUTER VILLAGE,1
MSI GeForce RTX 2060 SUPER GAMING X Graphics Card,49000 ,TECHLAND,1
ZOTAC GAMING GeForce GTX 1660 Super Twin Fan Graphics Card,26000 ,TECHLAND,1
ZOTAC GAMING GeForce GTX 1660 Super AMP 6GB GDDR5 Graphics Card,28000 ,TECHLAND,1
ASUS TUF Gaming X3 AMD Radeon RX 5700 XT Overclocked 8G Gaming Graphics Card (TUF 3-RX5700XT-O8G-GAMING),48500 ,TECHLAND,1
XFX Radeon RX 560 1196MHz 4gb GDDR5 AMD Graphics Card,10200 ,TECHLAND,1
Gigabyte GeForce RTX 2070 SUPER WINDFORCE OC 8G Graphics Card,54000 ,TECHLAND,1
